candidate,ppl,ppl_delta_pct,pure_kv_mb,compression,effective_kv_bits,payload_mb,metadata_mb,residual_mb,auxiliary_mb,screen_pass,ms,note
GRP K128 V128 R3,14.93100739145055,11.53046123924275,3.08984375,5.1378002528445,3.114173228346457,2.46875,0.24609375,0.375,0.0,False,6983.960880000012,K3/V2 affine; Kseq128; Vgroup128; R3; metadata=bf16g256
COMBO-M8 K3-75 R4-50/R1,14.876964015448454,11.126772292180087,3.16796875,5.011097410604193,3.1929133858267713,2.34765625,0.5078125,0.3125,0.0,False,9167.70393400003,"K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256; K3 on top 24/32 layers, K2 elsewhere; R4 on top 16/32 layers, R1 elsewhere"
GRP K128 V128 R4,14.428895356845498,7.779824370270205,3.2060546875,4.951568687176363,3.2312992125984255,2.4609375,0.2451171875,0.5,0.0,False,7562.687614000026,K3/V2 affine; Kseq128; Vgroup128; R4; metadata=bf16g256
GRP K128 V64 R3,14.759105764808307,10.24640402832988,3.2109375,4.9440389294403895,3.236220472440945,2.46875,0.3671875,0.375,0.0,False,6989.7968569999875,K3/V2 affine; Kseq128; Vgroup64; R3; metadata=bf16g256
META8g256 G64 R4,14.858196775400993,10.986586242853003,3.21484375,4.938031591737546,3.2401574803149606,2.4609375,0.25390625,0.5,0.0,False,9673.809795000012,K3/V2 affine; Kseq64; Vgroup64; R4; metadata=int8g256
GRP K64 V128 R3,14.895010281859015,11.261572869505398,3.21484375,4.938031591737546,3.2401574803149606,2.46875,0.37109375,0.375,0.0,False,7210.775441999999,K3/V2 affine; Kseq64; Vgroup128; R3; metadata=bf16g256
ADAPT-M8 K3-50 R4,14.135339344622977,5.587042826174415,3.21875,4.932038834951456,3.244094488188977,2.2109375,0.5078125,0.5,0.0,True,8852.82506499999,"K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256; K3 on top 16/32 layers, K2 elsewhere"
META8g64 G64 R4,14.271333435978695,6.602880762427787,3.222412109375,4.926433820743996,3.247785433070866,2.4609375,0.261474609375,0.5,0.0,False,9356.814057999998,K3/V2 affine; Kseq64; Vgroup64; R4; metadata=int8g64
GRP K128 V64 R4,14.647919234473452,9.415871654543896,3.326171875,4.772753963593658,3.3523622047244097,2.4609375,0.365234375,0.5,0.0,False,7126.783104999987,K3/V2 affine; Kseq128; Vgroup64; R4; metadata=bf16g256
GRP K64 V128 R4,14.420392734078778,7.716312149423099,3.3310546875,4.765757842274993,3.357283464566929,2.4609375,0.3701171875,0.5,0.0,False,7631.445028999991,K3/V2 affine; Kseq64; Vgroup128; R4; metadata=bf16g256
GRP K64 V64 R3,14.927948315295776,11.507610793484947,3.3359375,4.758782201405152,3.362204724409449,2.46875,0.4921875,0.375,0.0,False,7024.327522999983,K3/V2 affine; Kseq64; Vgroup64; R3; metadata=bf16g256
ADAPT-M8 K3-75 R4,14.86966274885451,11.072233866908165,3.34375,4.747663551401869,3.37007874015748,2.3359375,0.5078125,0.5,0.0,False,9758.644303999972,"K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256; K3 on top 24/32 layers, K2 elsewhere"
GRP K64 V64 R4,14.576626759302947,8.88333674713997,3.451171875,4.599886813808715,3.4783464566929134,2.4609375,0.490234375,0.5,0.0,False,6986.188336999987,K3/V2 affine; Kseq64; Vgroup64; R4; metadata=bf16g256
GRP K128 V32 R3,14.075388437183424,5.139226266772456,3.453125,4.597285067873303,3.4803149606299217,2.46875,0.609375,0.375,0.0,True,7062.27168800001,K3/V2 affine; Kseq128; Vgroup32; R3; metadata=bf16g256
GRP K32 V128 R3,15.200388962435314,13.54266644908584,3.46484375,4.581736189402481,3.492125984251968,2.46875,0.62109375,0.375,0.0,False,7499.044327000007,K3/V2 affine; Kseq32; Vgroup128; R3; metadata=bf16g256
META8g256 G32 R4,14.633979882386544,9.311748581875733,3.46875,4.576576576576577,3.496062992125984,2.4609375,0.5078125,0.5,0.0,False,9825.777872999992,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256
META8g64 G32 R4,14.66530941822694,9.54577147738991,3.48388671875,4.556692361597758,3.511318897637795,2.4609375,0.52294921875,0.5,0.0,False,9742.10510399999,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g64
RES G32 R0,14.932358121485821,11.540550815913232,3.48828125,4.550951847704368,3.515748031496063,2.4921875,0.99609375,0.0,0.0,False,6962.031419999988,K3/V2 affine; Kseq32; Vgroup32; R0; metadata=bf16g256
