candidate,ppl,ppl_delta_pct,pure_kv_mb,compression,effective_kv_bits,payload_mb,metadata_mb,residual_mb,auxiliary_mb,final_pass,ms,note
META8g64 G32 R4,11.477435734357258,2.2412843984490394,6.51513671875,4.892452971595593,3.270343137254902,4.9609375,1.05419921875,0.5,0.0,True,15864.710548000006,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g64
GRP K64 V32 R3,11.737553542215036,4.558420332451951,6.828125,4.668192219679634,3.4274509803921567,4.96875,1.484375,0.375,0.0,True,11767.224967499998,K3/V2 affine; Kseq64; Vgroup32; R3; metadata=bf16g256
GRP K64 V32 R4,11.569357103403677,3.06012225147545,6.94140625,4.592009003939223,3.484313725490196,4.9609375,1.48046875,0.5,0.0,True,11782.182278000022,K3/V2 affine; Kseq64; Vgroup32; R4; metadata=bf16g256
RES G32 R3,11.478482945627118,2.2506129826158405,7.328125,4.349680170575693,3.6784313725490194,4.96875,1.984375,0.375,0.0,True,11670.466872000019,K3/V2 affine; Kseq32; Vgroup32; R3; metadata=bf16g256
BASE G32 R4,11.51456847679353,2.5720637961987203,7.44140625,4.283464566929134,3.7352941176470584,4.9609375,1.98046875,0.5,0.0,True,11647.849142000012,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=bf16g256
GRP K48 V32 R3,11.720652737717769,4.407867543557198,7.453125,4.276729559748428,3.7411764705882353,5.34375,1.734375,0.375,0.0,True,11757.507969000017,K3/V2 affine; Kseq48; Vgroup32; R3; metadata=bf16g256
GRP K48 V32 R4,11.467932647386359,2.1566306621840337,7.56640625,4.212700051626226,3.798039215686275,5.3359375,1.73046875,0.5,0.0,True,11704.597103999959,K3/V2 affine; Kseq48; Vgroup32; R4; metadata=bf16g256
META8g256 G32 R4,12.103984203987077,7.8225938263970285,6.4765625,4.921592279855247,3.250980392156863,4.9609375,1.015625,0.5,0.0,False,15945.958043500013,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256
GRP K128 V32 R3,11.951110924163544,6.46079482868418,6.578125,4.845605700712589,3.3019607843137253,4.96875,1.234375,0.375,0.0,False,11730.324123000002,K3/V2 affine; Kseq128; Vgroup32; R3; metadata=bf16g256
GRP K128 V32 R4,11.840678814862876,5.477062838799718,6.69140625,4.7635726795096325,3.3588235294117643,4.9609375,1.23046875,0.5,0.0,False,11757.192426000018,K3/V2 affine; Kseq128; Vgroup32; R4; metadata=bf16g256
GRP K96 V32 R3,11.922783800838522,6.208456106072657,7.078125,4.503311258278146,3.5529411764705885,5.34375,1.359375,0.375,0.0,False,11734.878661500034,K3/V2 affine; Kseq96; Vgroup32; R3; metadata=bf16g256
GRP K96 V32 R4,11.82254843639592,5.315556974249969,7.19140625,4.43237370994025,3.6098039215686275,5.3359375,1.35546875,0.5,0.0,False,11811.496189499961,K3/V2 affine; Kseq96; Vgroup32; R4; metadata=bf16g256
GRP K80 V32 R3,11.929465012748647,6.2679725087639415,7.578125,4.206185567010309,3.803921568627451,5.71875,1.484375,0.375,0.0,False,11743.635448000021,K3/V2 affine; Kseq80; Vgroup32; R3; metadata=bf16g256
GRP K112 V32 R3,12.052680324976727,7.365577589840022,7.640625,4.171779141104294,3.835294117647059,5.90625,1.359375,0.375,0.0,False,11741.413729499982,K3/V2 affine; Kseq112; Vgroup32; R3; metadata=bf16g256
GRP K80 V32 R4,11.79909297688221,5.106615154636129,7.69140625,4.144235652615541,3.86078431372549,5.7109375,1.48046875,0.5,0.0,False,11751.931930000012,K3/V2 affine; Kseq80; Vgroup32; R4; metadata=bf16g256
GRP K112 V32 R4,11.822833392458602,5.318095369978781,7.75390625,4.110831234256927,3.892156862745098,5.8984375,1.35546875,0.5,0.0,False,11817.757574500036,K3/V2 affine; Kseq112; Vgroup32; R4; metadata=bf16g256
