candidate,ppl,ppl_delta_pct,pure_kv_mb,compression,effective_kv_bits,payload_mb,metadata_mb,residual_mb,auxiliary_mb,screen_pass,ms,note
GRP K128 V32 R3,14.075388437183424,5.139226266772456,3.453125,4.597285067873303,3.4803149606299217,2.46875,0.609375,0.375,0.0,True,5840.316829999992,K3/V2 affine; Kseq128; Vgroup32; R3; metadata=bf16g256
META8g256 G32 R4,14.633979882386544,9.311748581875733,3.46875,4.576576576576577,3.496062992125984,2.4609375,0.5078125,0.5,0.0,True,7773.2585640000025,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256
META8g64 G32 R4,14.66530941822694,9.54577147738991,3.48388671875,4.556692361597758,3.511318897637795,2.4609375,0.52294921875,0.5,0.0,True,7714.932078999993,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g64
GRP K128 V32 R4,14.236470796938798,6.342466571328842,3.56640625,4.451259583789704,3.5944881889763782,2.4609375,0.60546875,0.5,0.0,True,5730.259876000019,K3/V2 affine; Kseq128; Vgroup32; R4; metadata=bf16g256
GRP K64 V32 R3,14.024067485689258,4.755873071551453,3.578125,4.436681222707423,3.6062992125984255,2.46875,0.734375,0.375,0.0,True,5786.795192,K3/V2 affine; Kseq64; Vgroup32; R3; metadata=bf16g256
GRP K64 V32 R4,14.311034169924508,6.899434173220986,3.69140625,4.300529100529101,3.720472440944882,2.4609375,0.73046875,0.5,0.0,True,5774.540211999991,K3/V2 affine; Kseq64; Vgroup32; R4; metadata=bf16g256
RES G32 R3,14.485954390683093,8.206039440354251,3.828125,4.146938775510204,3.858267716535433,2.46875,0.984375,0.375,0.0,True,5770.046735000008,K3/V2 affine; Kseq32; Vgroup32; R3; metadata=bf16g256
GRP K48 V32 R3,14.220021626380051,6.219595854616822,3.890625,4.080321285140562,3.9212598425196847,2.65625,0.859375,0.375,0.0,True,5767.642762999998,K3/V2 affine; Kseq48; Vgroup32; R3; metadata=bf16g256
BASE G32 R4,14.580629924402068,8.913239274023542,3.94140625,4.0277502477700695,3.97244094488189,2.4609375,0.98046875,0.5,0.0,True,5767.513663000002,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=bf16g256
GRP K80 V32 R3,14.191721365333954,6.008200797008767,3.953125,4.015810276679842,3.984251968503937,2.84375,0.734375,0.375,0.0,True,5781.017880999997,K3/V2 affine; Kseq80; Vgroup32; R3; metadata=bf16g256
GRP K48 V32 R4,14.484289295079687,8.193601640560399,4.00390625,3.9648780487804878,4.035433070866142,2.6484375,0.85546875,0.5,0.0,True,5861.063162999997,K3/V2 affine; Kseq48; Vgroup32; R4; metadata=bf16g256
GRP K80 V32 R4,14.337857488360234,7.099796881420861,4.06640625,3.903938520653218,4.0984251968503935,2.8359375,0.73046875,0.5,0.0,True,5767.15010800001,K3/V2 affine; Kseq80; Vgroup32; R4; metadata=bf16g256
GRP K96 V32 R3,14.226579917645463,6.2685844613863395,4.328125,3.667870036101083,4.362204724409449,3.21875,0.734375,0.375,0.0,True,5853.955557000007,K3/V2 affine; Kseq96; Vgroup32; R3; metadata=bf16g256
GRP K96 V32 R4,14.294991360558532,6.779598861292513,4.44140625,3.5743183817062447,4.4763779527559056,3.2109375,0.73046875,0.5,0.0,True,5750.565761999979,K3/V2 affine; Kseq96; Vgroup32; R4; metadata=bf16g256
GRP K112 V32 R3,14.06022035154382,5.025924897136158,4.703125,3.3754152823920265,4.740157480314961,3.59375,0.734375,0.375,0.0,True,5851.749573000006,K3/V2 affine; Kseq112; Vgroup32; R3; metadata=bf16g256
GRP K112 V32 R4,14.285993638504484,6.7123883868428935,4.81640625,3.2960259529602594,4.854330708661418,3.5859375,0.73046875,0.5,0.0,True,5837.353304999993,K3/V2 affine; Kseq112; Vgroup32; R4; metadata=bf16g256
